npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:8081
 HTTP  4/15/2026 11:03:50 AM ::1 GET /
 HTTP  4/15/2026 11:03:50 AM ::1 Returned 200 in 274 ms
 HTTP  4/15/2026 11:03:51 AM ::1 GET /_expo/static/js/web/index-852543ea907211995759e0f9783b1ca6.js
 HTTP  4/15/2026 11:03:51 AM ::1 Returned 200 in 10 ms
 HTTP  4/15/2026 11:03:51 AM ::1 GET /assets/node_modules/@expo-google-fonts/inter/400Regular/Inter_400Regular.51b6ad87261f18b6433ec52871ddfabc.ttf
 HTTP  4/15/2026 11:03:51 AM ::1 GET /assets/node_modules/@expo-google-fonts/inter/600SemiBold/Inter_600SemiBold.a5f35888d2da465de352e0dcfaf33324.ttf
 HTTP  4/15/2026 11:03:51 AM ::1 GET /assets/node_modules/@expo-google-fonts/inter/700Bold/Inter_700Bold.6e237de4f1f413afa2fcc45c77ac343a.ttf
 HTTP  4/15/2026 11:03:51 AM ::1 GET /assets/node_modules/@expo-google-fonts/playfair-display/400Regular/PlayfairDisplay_400Regular.9116faa12b7016e93277294c7a0735b6.ttf
 HTTP  4/15/2026 11:03:51 AM ::1 GET /assets/node_modules/@expo-google-fonts/playfair-display/600SemiBold/PlayfairDisplay_600SemiBold.f0713720c230460d5430d96d46f5cd28.ttf
 HTTP  4/15/2026 11:03:51 AM ::1 Returned 200 in 8 ms
 HTTP  4/15/2026 11:03:51 AM ::1 Returned 200 in 7 ms
 HTTP  4/15/2026 11:03:51 AM ::1 Returned 200 in 12 ms
 HTTP  4/15/2026 11:03:51 AM ::1 Returned 200 in 11 ms
 HTTP  4/15/2026 11:03:51 AM ::1 Returned 200 in 11 ms
 HTTP  4/15/2026 11:03:51 AM ::1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/Ionicons.b4eb097d35f44ed943676fd56f6bdc51.ttf
 HTTP  4/15/2026 11:03:51 AM ::1 GET /assets/node_modules/@expo-google-fonts/playfair-display/600SemiBold/PlayfairDisplay_600SemiBold.f0713720c230460d5430d96d46f5cd28.ttf
 HTTP  4/15/2026 11:03:51 AM ::1 GET /assets/node_modules/@expo-google-fonts/inter/600SemiBold/Inter_600SemiBold.a5f35888d2da465de352e0dcfaf33324.ttf
 HTTP  4/15/2026 11:03:51 AM ::1 Returned 304 in 2 ms
 HTTP  4/15/2026 11:03:51 AM ::1 GET /assets/node_modules/@expo-google-fonts/inter/400Regular/Inter_400Regular.51b6ad87261f18b6433ec52871ddfabc.ttf
 HTTP  4/15/2026 11:03:51 AM ::1 Returned 304 in 3 ms
 HTTP  4/15/2026 11:03:51 AM ::1 Returned 304 in 1 ms
 HTTP  4/15/2026 11:03:51 AM ::1 Returned 200 in 8 ms
