npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:8081
 HTTP  4/14/2026 6:03:14 PM ::1 GET /
 HTTP  4/14/2026 6:03:14 PM ::1 Returned 200 in 284 ms
 HTTP  4/14/2026 6:03:14 PM ::1 GET /_expo/static/js/web/index-cc4e56fe76a6574394ceec50be177a48.js
 HTTP  4/14/2026 6:03:14 PM ::1 Returned 200 in 10 ms
 HTTP  4/14/2026 6:03:15 PM ::1 GET /assets/node_modules/@expo-google-fonts/playfair-display/700Bold_Italic/PlayfairDisplay_700Bold_Italic.7e481ff3b185f4e1fc76932a914c6359.ttf
 HTTP  4/14/2026 6:03:15 PM ::1 GET /assets/node_modules/@expo-google-fonts/inter/400Regular/Inter_400Regular.51b6ad87261f18b6433ec52871ddfabc.ttf
 HTTP  4/14/2026 6:03:15 PM ::1 GET /assets/node_modules/@expo-google-fonts/inter/500Medium/Inter_500Medium.137ab18bace28dd0bd83eb3b8ed2bc54.ttf
 HTTP  4/14/2026 6:03:15 PM ::1 GET /assets/node_modules/@expo-google-fonts/inter/600SemiBold/Inter_600SemiBold.a5f35888d2da465de352e0dcfaf33324.ttf
 HTTP  4/14/2026 6:03:15 PM ::1 Returned 200 in 10 ms
 HTTP  4/14/2026 6:03:15 PM ::1 Returned 200 in 10 ms
 HTTP  4/14/2026 6:03:15 PM ::1 Returned 200 in 11 ms
 HTTP  4/14/2026 6:03:15 PM ::1 Returned 200 in 11 ms
 HTTP  4/14/2026 6:03:15 PM ::1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/Ionicons.b4eb097d35f44ed943676fd56f6bdc51.ttf
 HTTP  4/14/2026 6:03:15 PM ::1 Returned 200 in 5 ms
 HTTP  4/14/2026 6:03:17 PM ::1 GET /assets/node_modules/@expo-google-fonts/playfair-display/700Bold_Italic/PlayfairDisplay_700Bold_Italic.7e481ff3b185f4e1fc76932a914c6359.ttf
 HTTP  4/14/2026 6:03:17 PM ::1 GET /assets/node_modules/@expo-google-fonts/inter/600SemiBold/Inter_600SemiBold.a5f35888d2da465de352e0dcfaf33324.ttf
 HTTP  4/14/2026 6:03:17 PM ::1 GET /assets/node_modules/@expo-google-fonts/inter/400Regular/Inter_400Regular.51b6ad87261f18b6433ec52871ddfabc.ttf
 HTTP  4/14/2026 6:03:17 PM ::1 Returned 304 in 3 ms
 HTTP  4/14/2026 6:03:17 PM ::1 Returned 304 in 4 ms
 HTTP  4/14/2026 6:03:17 PM ::1 Returned 304 in 4 ms
 HTTP  4/14/2026 6:04:16 PM ::1 GET /
 HTTP  4/14/2026 6:04:16 PM ::1 Returned 200 in 2 ms
 HTTP  4/14/2026 6:04:16 PM ::1 GET /_expo/static/js/web/index-cc4e56fe76a6574394ceec50be177a48.js
 HTTP  4/14/2026 6:04:16 PM ::1 Returned 200 in 1 ms
 HTTP  4/14/2026 6:04:17 PM ::1 GET /assets/node_modules/@expo-google-fonts/playfair-display/700Bold_Italic/PlayfairDisplay_700Bold_Italic.7e481ff3b185f4e1fc76932a914c6359.ttf
 HTTP  4/14/2026 6:04:17 PM ::1 Returned 200 in 2 ms
 HTTP  4/14/2026 6:04:17 PM ::1 GET /assets/node_modules/@expo-google-fonts/inter/400Regular/Inter_400Regular.51b6ad87261f18b6433ec52871ddfabc.ttf
 HTTP  4/14/2026 6:04:17 PM ::1 Returned 200 in 1 ms
 HTTP  4/14/2026 6:04:17 PM ::1 GET /assets/node_modules/@expo-google-fonts/inter/500Medium/Inter_500Medium.137ab18bace28dd0bd83eb3b8ed2bc54.ttf
 HTTP  4/14/2026 6:04:17 PM ::1 GET /assets/node_modules/@expo-google-fonts/inter/600SemiBold/Inter_600SemiBold.a5f35888d2da465de352e0dcfaf33324.ttf
 HTTP  4/14/2026 6:04:17 PM ::1 Returned 200 in 2 ms
 HTTP  4/14/2026 6:04:17 PM ::1 Returned 200 in 2 ms
 HTTP  4/14/2026 6:04:17 PM ::1 GET /assets/node_modules/@expo/vector-icons/build/vendor/react-native-vector-icons/Fonts/Ionicons.b4eb097d35f44ed943676fd56f6bdc51.ttf
 HTTP  4/14/2026 6:04:17 PM ::1 Returned 200 in 2 ms
 HTTP  4/14/2026 6:04:19 PM ::1 GET /assets/node_modules/@expo-google-fonts/playfair-display/700Bold_Italic/PlayfairDisplay_700Bold_Italic.7e481ff3b185f4e1fc76932a914c6359.ttf
 HTTP  4/14/2026 6:04:19 PM ::1 GET /assets/node_modules/@expo-google-fonts/inter/600SemiBold/Inter_600SemiBold.a5f35888d2da465de352e0dcfaf33324.ttf
 HTTP  4/14/2026 6:04:19 PM ::1 GET /assets/node_modules/@expo-google-fonts/inter/400Regular/Inter_400Regular.51b6ad87261f18b6433ec52871ddfabc.ttf
 HTTP  4/14/2026 6:04:19 PM ::1 Returned 304 in 2 ms
 HTTP  4/14/2026 6:04:19 PM ::1 Returned 304 in 2 ms
 HTTP  4/14/2026 6:04:19 PM ::1 Returned 304 in 2 ms
 HTTP  4/14/2026 6:04:20 PM ::1 GET /assets/node_modules/@expo-google-fonts/inter/500Medium/Inter_500Medium.137ab18bace28dd0bd83eb3b8ed2bc54.ttf
 HTTP  4/14/2026 6:04:20 PM ::1 Returned 304 in 1 ms
